scenario,run,seed,year,event_key,description
baseline,1,7,1,farcaster_stoerung,Farcaster-Störung trifft Kernwelten
baseline,1,7,2,farcaster_stoerung,Farcaster-Störung trifft Kernwelten
baseline,1,7,5,pilgerboom,Pilgerströme Richtung Hyperion
baseline,1,7,8,ouster_raid,Ouster-Raid auf Grenzwelt (Hyperion)
baseline,1,7,11,core_prognosefehler,Core-Prognosefehler erhöht Volatilität
baseline,1,7,14,aufstand,Aufstand in der Peripherie (Hyperion)
baseline,1,7,16,templar_korridor,Weltenbaum-Sonderroute verfügbar
baseline,1,7,20,ouster_raid,Ouster-Raid auf Grenzwelt (Hyperion)
baseline,2,8,1,aufstand,Aufstand in der Peripherie (Bressia)
baseline,2,8,4,aufstand,Aufstand in der Peripherie (Bressia)
baseline,2,8,5,templar_korridor,Weltenbaum-Sonderroute verfügbar
baseline,2,8,7,sanktionen,Politische Sanktionen gegen Hegemonie-Welt (Tau Ceti)
baseline,2,8,8,pilgerboom,Pilgerströme Richtung Hyperion
baseline,2,8,9,templar_korridor,Weltenbaum-Sonderroute verfügbar
baseline,2,8,10,farcaster_stoerung,Farcaster-Störung trifft Kernwelten
baseline,2,8,12,aufstand,Aufstand in der Peripherie (Hebron)
baseline,2,8,13,pilgerboom,Pilgerströme Richtung Hyperion
baseline,2,8,14,farcaster_stoerung,Farcaster-Störung trifft Kernwelten
baseline,2,8,19,core_prognosefehler,Core-Prognosefehler erhöht Volatilität
baseline,2,8,20,pilgerboom,Pilgerströme Richtung Hyperion
baseline,3,9,3,ouster_raid,Ouster-Raid auf Grenzwelt (Hyperion)
baseline,3,9,4,pilgerboom,Pilgerströme Richtung Hyperion
baseline,3,9,13,sanktionen,Politische Sanktionen gegen Hegemonie-Welt (Lusus)
baseline,3,9,19,templar_korridor,Weltenbaum-Sonderroute verfügbar
baseline,3,9,20,farcaster_stoerung,Farcaster-Störung trifft Kernwelten
