scenario,run,seed,year,world,good,price,stock
baseline,1,7,1,Lusus,nahrung,22.59,25.6
baseline,1,7,1,Lusus,rohstoffe,30.06,32.0
baseline,1,7,1,Lusus,industrieteile,42.53,32.0
baseline,1,7,1,Lusus,energie,39.23,28.8
baseline,1,7,1,Lusus,luxus,74.17,35.324
baseline,1,7,1,Lusus,biotech,83.66,32.0
baseline,1,7,1,Lusus,core_daten,114.6,34.216
baseline,1,7,1,Lusus,relikte,153.97,32.0
baseline,1,7,1,Tau Ceti,nahrung,21.66,36.612
baseline,1,7,1,Tau Ceti,rohstoffe,27.67,30.0
baseline,1,7,1,Tau Ceti,industrieteile,43.42,27.2
baseline,1,7,1,Tau Ceti,energie,39.2,27.2
baseline,1,7,1,Tau Ceti,luxus,73.92,30.0
baseline,1,7,1,Tau Ceti,biotech,81.17,31.653
baseline,1,7,1,Tau Ceti,core_daten,107.85,30.0
baseline,1,7,1,Tau Ceti,relikte,137.91,30.0
baseline,1,7,1,Maui-Covenant,nahrung,19.65,28.240000000000002
baseline,1,7,1,Maui-Covenant,rohstoffe,29.46,26.0
baseline,1,7,1,Maui-Covenant,industrieteile,40.73,26.0
baseline,1,7,1,Maui-Covenant,energie,36.82,24.5
baseline,1,7,1,Maui-Covenant,luxus,78.97,25.0
baseline,1,7,1,Maui-Covenant,biotech,85.57,28.464
baseline,1,7,1,Maui-Covenant,core_daten,106.76,26.0
baseline,1,7,1,Maui-Covenant,relikte,144.52,26.0
baseline,1,7,1,Marsim,nahrung,21.39,27.4
baseline,1,7,1,Marsim,rohstoffe,31.6,25.0
baseline,1,7,1,Marsim,industrieteile,44.36,36.405
baseline,1,7,1,Marsim,energie,39.19,34.243
baseline,1,7,1,Marsim,luxus,76.47,31.0
baseline,1,7,1,Marsim,biotech,80.71,31.0
baseline,1,7,1,Marsim,core_daten,110.56,31.0
baseline,1,7,1,Marsim,relikte,152.04,31.0
baseline,1,7,1,Qom-Riyadh,nahrung,22.38,25.6
baseline,1,7,1,Qom-Riyadh,rohstoffe,27.2,28.0
baseline,1,7,1,Qom-Riyadh,industrieteile,40.95,28.0
baseline,1,7,1,Qom-Riyadh,energie,37.0,25.6
baseline,1,7,1,Qom-Riyadh,luxus,76.07,29.198999999999998
baseline,1,7,1,Qom-Riyadh,biotech,81.55,28.0
baseline,1,7,1,Qom-Riyadh,core_daten,113.81,32.796
baseline,1,7,1,Qom-Riyadh,relikte,140.81,28.0
baseline,1,7,1,Bressia,nahrung,19.17,22.66
baseline,1,7,1,Bressia,rohstoffe,28.02,28.3248
baseline,1,7,1,Bressia,industrieteile,42.65,23.29
baseline,1,7,1,Bressia,energie,37.99,26.4546
baseline,1,7,1,Bressia,luxus,85.79,25.0
baseline,1,7,1,Bressia,biotech,84.83,25.0
baseline,1,7,1,Bressia,core_daten,113.21,25.0
baseline,1,7,1,Bressia,relikte,148.89,25.0
baseline,1,7,1,Hebron,nahrung,21.86,23.8
baseline,1,7,1,Hebron,rohstoffe,26.05,26.0
baseline,1,7,1,Hebron,industrieteile,46.04,26.0
baseline,1,7,1,Hebron,energie,40.22,24.2
baseline,1,7,1,Hebron,luxus,84.49,27.378
baseline,1,7,1,Hebron,biotech,88.85,24.4
baseline,1,7,1,Hebron,core_daten,110.49,26.0
baseline,1,7,1,Hebron,relikte,142.64,26.0
baseline,1,7,1,Hyperion,nahrung,19.45,22.56
baseline,1,7,1,Hyperion,rohstoffe,29.23,25.4336
baseline,1,7,1,Hyperion,industrieteile,39.2,24.0
baseline,1,7,1,Hyperion,energie,35.02,22.32
baseline,1,7,1,Hyperion,luxus,75.99,22.432
baseline,1,7,1,Hyperion,biotech,76.58,24.0
baseline,1,7,1,Hyperion,core_daten,109.47,24.0
baseline,1,7,1,Hyperion,relikte,133.13,24.7168
baseline,1,7,2,Lusus,nahrung,22.9,19.200000000000003
baseline,1,7,2,Lusus,rohstoffe,28.36,32.0
baseline,1,7,2,Lusus,industrieteile,43.5,32.0
baseline,1,7,2,Lusus,energie,40.05,25.6
baseline,1,7,2,Lusus,luxus,74.35,38.647999999999996
baseline,1,7,2,Lusus,biotech,83.24,32.0
baseline,1,7,2,Lusus,core_daten,118.31,36.432
baseline,1,7,2,Lusus,relikte,150.06,32.0
baseline,1,7,2,Tau Ceti,nahrung,21.45,43.224000000000004
baseline,1,7,2,Tau Ceti,rohstoffe,28.37,30.0
baseline,1,7,2,Tau Ceti,industrieteile,42.44,24.4
baseline,1,7,2,Tau Ceti,energie,39.93,24.4
baseline,1,7,2,Tau Ceti,luxus,77.05,30.0
baseline,1,7,2,Tau Ceti,biotech,84.66,33.306
baseline,1,7,2,Tau Ceti,core_daten,119.43,30.0
baseline,1,7,2,Tau Ceti,relikte,143.08,30.0
baseline,1,7,2,Maui-Covenant,nahrung,20.55,30.480000000000004
baseline,1,7,2,Maui-Covenant,rohstoffe,30.11,26.0
baseline,1,7,2,Maui-Covenant,industrieteile,43.99,26.0
baseline,1,7,2,Maui-Covenant,energie,36.49,23.0
baseline,1,7,2,Maui-Covenant,luxus,76.35,24.0
baseline,1,7,2,Maui-Covenant,biotech,77.95,30.927999999999997
baseline,1,7,2,Maui-Covenant,core_daten,118.67,26.0
baseline,1,7,2,Maui-Covenant,relikte,151.17,26.0
baseline,1,7,2,Marsim,nahrung,20.37,23.799999999999997
baseline,1,7,2,Marsim,rohstoffe,31.98,19.0
baseline,1,7,2,Marsim,industrieteile,45.19,41.81
baseline,1,7,2,Marsim,energie,38.18,37.486000000000004
baseline,1,7,2,Marsim,luxus,77.2,31.0
baseline,1,7,2,Marsim,biotech,82.1,31.0
baseline,1,7,2,Marsim,core_daten,107.27,31.0
baseline,1,7,2,Marsim,relikte,135.91,31.0
baseline,1,7,2,Qom-Riyadh,nahrung,22.46,23.200000000000003
baseline,1,7,2,Qom-Riyadh,rohstoffe,29.01,28.0
baseline,1,7,2,Qom-Riyadh,industrieteile,42.87,28.0
baseline,1,7,2,Qom-Riyadh,energie,40.55,23.200000000000003
baseline,1,7,2,Qom-Riyadh,luxus,78.06,30.397999999999996
baseline,1,7,2,Qom-Riyadh,biotech,85.59,28.0
baseline,1,7,2,Qom-Riyadh,core_daten,117.08,37.592
baseline,1,7,2,Qom-Riyadh,relikte,139.85,28.0
baseline,1,7,2,Bressia,nahrung,20.23,20.32
baseline,1,7,2,Bressia,rohstoffe,27.31,31.6496
baseline,1,7,2,Bressia,industrieteile,41.68,21.58
baseline,1,7,2,Bressia,energie,38.12,27.9092
baseline,1,7,2,Bressia,luxus,75.28,25.0
baseline,1,7,2,Bressia,biotech,80.57,25.0
baseline,1,7,2,Bressia,core_daten,104.88,25.0
baseline,1,7,2,Bressia,relikte,157.06,25.0
baseline,1,7,2,Hebron,nahrung,20.59,21.6
baseline,1,7,2,Hebron,rohstoffe,28.26,26.0
baseline,1,7,2,Hebron,industrieteile,43.44,26.0
baseline,1,7,2,Hebron,energie,41.21,22.4
baseline,1,7,2,Hebron,luxus,77.58,28.756
baseline,1,7,2,Hebron,biotech,91.04,22.799999999999997
baseline,1,7,2,Hebron,core_daten,112.85,26.0
baseline,1,7,2,Hebron,relikte,146.35,26.0
baseline,1,7,2,Hyperion,nahrung,21.18,21.119999999999997
baseline,1,7,2,Hyperion,rohstoffe,25.85,26.867199999999997
baseline,1,7,2,Hyperion,industrieteile,42.31,24.0
baseline,1,7,2,Hyperion,energie,35.95,20.64
baseline,1,7,2,Hyperion,luxus,73.01,20.863999999999997
baseline,1,7,2,Hyperion,biotech,86.6,24.0
baseline,1,7,2,Hyperion,core_daten,105.83,24.0
baseline,1,7,2,Hyperion,relikte,144.8,25.4336
