scenario,run,seed,year,good,seller,buyer,quantity,unit_price,transport_cost,trade_value
baseline,1,7,4,nahrung,Tau Ceti,Lusus,4.299999999999997,20.5396,0.9596,88.32027999999994
baseline,1,7,4,rohstoffe,Tau Ceti,Marsim,3.5,28.059600000000003,0.9596,98.20860000000002
baseline,1,7,5,nahrung,Tau Ceti,Lusus,6.0,20.769599999999997,0.9596,124.61759999999998
baseline,1,7,5,rohstoffe,Hebron,Marsim,6.0,34.1596,6.9596,204.95759999999999
baseline,1,7,6,nahrung,Tau Ceti,Lusus,6.0,22.309600000000003,0.9596,133.85760000000002
baseline,1,7,6,rohstoffe,Hebron,Marsim,6.0,34.0196,6.9596,204.11759999999998
baseline,1,7,7,nahrung,Maui-Covenant,Lusus,6.0,21.559600000000003,0.9596,129.35760000000002
baseline,1,7,7,rohstoffe,Bressia,Marsim,6.0,33.0596,6.9596,198.35760000000002
baseline,1,7,7,energie,Marsim,Lusus,1.0999999999999943,37.6496,0.9596,41.41455999999979
baseline,1,7,8,nahrung,Maui-Covenant,Marsim,6.0,22.3896,0.9596,134.3376
baseline,1,7,8,rohstoffe,Bressia,Marsim,6.0,33.6796,6.9596,202.07760000000002
baseline,1,7,8,industrieteile,Marsim,Tau Ceti,2.7000000000000055,42.3196,0.9596,114.26292000000024
baseline,1,7,8,energie,Maui-Covenant,Qom-Riyadh,1.0999999999999943,37.9396,0.9596,41.733559999999784
baseline,1,7,8,energie,Maui-Covenant,Lusus,3.2,37.9396,0.9596,121.40672
baseline,1,7,8,energie,Maui-Covenant,Tau Ceti,0.2000000000000055,37.9396,0.9596,7.587920000000208
baseline,1,7,9,nahrung,Maui-Covenant,Lusus,6.0,20.6496,0.9596,123.8976
baseline,1,7,9,rohstoffe,Hebron,Marsim,4.5,32.9796,6.9596,148.4082
baseline,1,7,9,rohstoffe,Maui-Covenant,Marsim,1.5,28.459600000000002,0.9596,42.689400000000006
baseline,1,7,9,industrieteile,Qom-Riyadh,Tau Ceti,2.8,41.2096,0.9596,115.38687999999999
baseline,1,7,9,energie,Marsim,Tau Ceti,5.3,39.409600000000005,0.9596,208.87088000000003
baseline,1,7,9,energie,Marsim,Maui-Covenant,0.7000000000000002,39.409600000000005,0.9596,27.58672000000001
baseline,1,7,9,luxus,Bressia,Hyperion,1.3288000000000046,83.9496,8.0396,111.5522284800004
baseline,1,7,10,nahrung,Maui-Covenant,Lusus,6.0,22.099600000000002,0.9596,132.5976
baseline,1,7,10,rohstoffe,Maui-Covenant,Marsim,6.0,28.229599999999998,0.9596,169.37759999999997
baseline,1,7,10,industrieteile,Lusus,Tau Ceti,2.8,43.479600000000005,0.9596,121.74288
baseline,1,7,10,energie,Marsim,Lusus,6.0,39.5596,0.9596,237.35760000000002
baseline,1,7,10,luxus,Lusus,Hyperion,1.5679999999999996,80.22959999999999,6.9596,125.80001279999995
baseline,1,7,11,nahrung,Maui-Covenant,Lusus,6.0,18.901200000000003,0.9812000000000001,113.40720000000002
baseline,1,7,11,rohstoffe,Hyperion,Marsim,6.0,30.8112,6.981199999999999,184.8672
baseline,1,7,11,industrieteile,Hebron,Bressia,3.1100000000000083,42.501200000000004,6.981199999999999,132.17873200000037
baseline,1,7,11,industrieteile,Hebron,Tau Ceti,2.8,42.501200000000004,6.981199999999999,119.00336
baseline,1,7,11,energie,Marsim,Lusus,3.6000000000000005,44.321200000000005,0.9812000000000001,159.55632000000003
baseline,1,7,11,biotech,Marsim,Hebron,1.1000000000000068,72.0312,6.981199999999999,79.23432000000048
baseline,1,7,12,nahrung,Maui-Covenant,Lusus,6.0,18.2312,0.9812000000000001,109.3872
baseline,1,7,12,rohstoffe,Lusus,Marsim,6.0,29.0612,0.9812000000000001,174.3672
baseline,1,7,12,industrieteile,Hebron,Tau Ceti,2.8,42.2012,6.981199999999999,118.16336
baseline,1,7,12,industrieteile,Hebron,Bressia,1.71,42.2012,6.981199999999999,72.164052
baseline,1,7,12,energie,Marsim,Qom-Riyadh,6.0,39.6212,0.9812000000000001,237.7272
baseline,1,7,12,luxus,Bressia,Hyperion,3.1359999999999992,65.7812,6.981199999999999,206.28984319999995
baseline,1,7,12,biotech,Maui-Covenant,Hebron,1.5999999999999996,74.1112,6.981199999999999,118.57791999999996
baseline,1,7,13,nahrung,Maui-Covenant,Lusus,6.0,20.5396,0.9596,123.2376
baseline,1,7,13,rohstoffe,Lusus,Marsim,6.0,28.989600000000003,0.9596,173.93760000000003
