scenario,run,seed,year,world,category,faction,farcaster,periphery,stability,prosperity,cash,time_debt,hyperion_special
baseline,1,7,1,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.916,1600.0,0.0,False
baseline,1,7,1,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.736,1400.0,0.0,False
baseline,1,7,1,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.716,1000.0,0.0,False
baseline,1,7,1,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.796,1500.0,0.0,False
baseline,1,7,1,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.846,1200.0,0.0,False
baseline,1,7,1,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.516,900.0,0.0,False
baseline,1,7,1,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5660000000000001,1000.0,0.0,False
baseline,1,7,1,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.466,800.0,0.0,True
baseline,1,7,2,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.932,1600.0,0.0,False
baseline,1,7,2,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.752,1400.0,0.0,False
baseline,1,7,2,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.732,1000.0,0.0,False
baseline,1,7,2,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.812,1500.0,0.0,False
baseline,1,7,2,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.862,1200.0,0.0,False
baseline,1,7,2,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.532,900.0,0.0,False
baseline,1,7,2,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5820000000000001,1000.0,0.0,False
baseline,1,7,2,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.48200000000000004,800.0,0.0,True
baseline,1,7,3,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.9480000000000001,1600.0,0.0,False
baseline,1,7,3,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.768,1400.0,0.0,False
baseline,1,7,3,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.748,1000.0,0.0,False
baseline,1,7,3,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8280000000000001,1500.0,0.0,False
baseline,1,7,3,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.878,1200.0,0.0,False
baseline,1,7,3,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.548,900.0,0.0,False
baseline,1,7,3,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5980000000000001,1000.0,0.0,False
baseline,1,7,3,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.49800000000000005,800.0,0.0,True
baseline,1,7,4,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.9769000000000001,1511.67972,0.0,False
baseline,1,7,4,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8152,1579.0439999999999,0.0,False
baseline,1,7,4,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.764,1000.0,0.0,False
baseline,1,7,4,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8545,1401.7914,0.0,False
baseline,1,7,4,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.894,1200.0,0.0,False
baseline,1,7,4,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.5640000000000001,900.0,0.0,False
