scenario,run,seed,year,events,event_count,core_signal,ouster_threat,templar_access,trade_volume,trade_value
baseline,1,7,1,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,0.0,0.0
baseline,1,7,2,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,0.0,0.0
baseline,1,7,3,keine,0,1.064,1.0,0.0,0.0,0.0
baseline,1,7,4,keine,0,1.064,1.0,0.0,7.799999999999997,186.52887999999996
baseline,1,7,5,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,12.0,329.5752
baseline,1,7,6,keine,0,1.064,1.0,0.0,12.0,337.9752
baseline,1,7,7,keine,0,1.064,1.0,0.0,13.099999999999994,369.1297599999998
baseline,1,7,8,Ouster-Raid auf Grenzwelt (Hyperion),1,1.064,1.0,0.0,19.200000000000006,621.4063200000003
baseline,1,7,9,keine,0,1.064,1.0,0.0,22.128800000000005,778.3919084800004
baseline,1,7,10,keine,0,1.064,1.0,0.0,22.368,786.8756927999999
baseline,1,7,11,Core-Prognosefehler erhöht Volatilität,1,1.208,1.0,0.0,22.610000000000014,788.2471320000009
baseline,1,7,12,keine,0,1.208,1.0,0.0,27.246,1036.6767751999998
baseline,1,7,13,keine,0,1.064,1.0,0.0,22.368,789.4462528
baseline,1,7,14,Aufstand in der Peripherie (Hyperion),1,1.064,1.0,0.0,28.609279564444485,1216.6534627199997
baseline,1,7,15,keine,0,1.064,1.0,0.0,22.619999999999997,796.0575519999999
baseline,1,7,16,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,23.249999999999996,869.0371999999998
baseline,1,7,17,keine,0,1.064,1.0,0.0,26.6,1026.02336
baseline,1,7,18,keine,0,1.064,1.0,0.0,26.6,1044.82536
baseline,1,7,19,keine,0,1.064,1.0,0.0,23.84,870.1632384
baseline,1,7,20,Ouster-Raid auf Grenzwelt (Hyperion),1,1.064,1.0,0.0,26.6,1036.02236
baseline,2,8,1,Aufstand in der Peripherie (Bressia),1,1.064,1.0,0.0,0.0,0.0
baseline,2,8,2,keine,0,1.064,1.0,0.0,0.0,0.0
baseline,2,8,3,keine,0,1.064,1.0,0.0,0.0,0.0
baseline,2,8,4,Aufstand in der Peripherie (Bressia),1,1.064,1.0,0.0,7.799999999999997,185.88387999999998
baseline,2,8,5,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,12.0,324.4152
baseline,2,8,6,keine,0,1.064,1.0,0.0,12.0,293.3352
baseline,2,8,7,Politische Sanktionen gegen Hegemonie-Welt (Tau Ceti),1,1.064,1.0,0.0,13.099999999999994,364.3123599999997
baseline,2,8,8,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,20.600000000000012,649.1337600000004
baseline,2,8,9,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,20.8,662.69968
baseline,2,8,10,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,19.40000000000001,704.1242400000004
