run,year,event_type
1,1,Farcaster-Störung trifft Kernwelten
1,3,Farcaster-Störung trifft Kernwelten
1,5,Politische Sanktionen gegen Hebron
1,6,Weltenbaum-Sonderroute verfügbar
1,10,Pilgerströme Richtung Hyperion
1,11,Weltenbaum-Sonderroute verfügbar
1,13,Weltenbaum-Sonderroute verfügbar
1,15,Farcaster-Störung trifft Kernwelten
1,17,Pilgerströme Richtung Hyperion
1,18,Pilgerströme Richtung Hyperion
1,19,Farcaster-Störung trifft Kernwelten
1,23,Weltenbaum-Sonderroute verfügbar
1,25,Ouster-Raid bei Hyperion
1,27,TechnoCore optimiert Handelsnetz temporär
2,1,Aufstand auf Bressia
2,2,Ouster-Raid bei Hebron
2,3,Ouster-Raid bei Bressia
2,4,Weltenbaum-Sonderroute verfügbar
2,5,Ouster-Raid bei Hyperion
2,11,Farcaster-Störung trifft Kernwelten
2,13,TechnoCore-Prognosefehler erhöht Marktvolatilität
2,15,Aufstand auf Bressia
2,21,TechnoCore-Prognosefehler erhöht Marktvolatilität
2,22,Aufstand auf Hyperion
2,26,Politische Sanktionen gegen Tau Ceti
3,3,Farcaster-Störung trifft Kernwelten
3,6,Politische Sanktionen gegen Bressia
3,16,TechnoCore-Prognosefehler erhöht Marktvolatilität
3,22,TechnoCore optimiert Handelsnetz temporär
3,23,Ouster-Raid bei Hyperion
3,24,Politische Sanktionen gegen Hebron
3,25,Politische Sanktionen gegen Tau Ceti
4,2,Pilgerströme Richtung Hyperion
4,4,Weltenbaum-Sonderroute verfügbar
4,5,TechnoCore-Prognosefehler erhöht Marktvolatilität
4,6,Weltenbaum-Sonderroute verfügbar
4,11,TechnoCore optimiert Handelsnetz temporär
4,13,TechnoCore optimiert Handelsnetz temporär
4,15,TechnoCore-Prognosefehler erhöht Marktvolatilität
4,16,Pilgerströme Richtung Hyperion
4,17,Pilgerströme Richtung Hyperion
4,18,Farcaster-Störung trifft Kernwelten
4,19,Aufstand auf Bressia
4,21,Pilgerströme Richtung Hyperion
4,22,Pilgerströme Richtung Hyperion
4,25,TechnoCore-Prognosefehler erhöht Marktvolatilität
4,28,Farcaster-Störung trifft Kernwelten
4,29,Politische Sanktionen gegen Tau Ceti
4,30,TechnoCore optimiert Handelsnetz temporär
5,2,Farcaster-Störung trifft Kernwelten
5,3,Politische Sanktionen gegen Hebron
5,7,Pilgerströme Richtung Hyperion
5,8,TechnoCore optimiert Handelsnetz temporär
5,11,TechnoCore optimiert Handelsnetz temporär
5,15,Pilgerströme Richtung Hyperion
5,16,Pilgerströme Richtung Hyperion
5,17,Politische Sanktionen gegen Bressia
5,23,Weltenbaum-Sonderroute verfügbar
5,25,Weltenbaum-Sonderroute verfügbar
5,27,Weltenbaum-Sonderroute verfügbar
5,29,Politische Sanktionen gegen Hebron
