run,year,world,good,price,stock
1,1,Lusus,nahrung,22.06,25.6
1,1,Lusus,rohstoffe,26.88,32.0
1,1,Lusus,industrieteile,42.86,32.0
1,1,Lusus,energie,37.76,28.8
1,1,Lusus,luxus,74.15,35.324
1,1,Lusus,biotech,81.64,32.0
1,1,Lusus,core_daten,105.82,34.216
1,1,Lusus,relikte,143.6,32.0
1,1,Tau Ceti,nahrung,19.65,36.612
1,1,Tau Ceti,rohstoffe,26.96,30.0
1,1,Tau Ceti,industrieteile,43.64,27.2
1,1,Tau Ceti,energie,39.98,27.2
1,1,Tau Ceti,luxus,74.94,30.0
1,1,Tau Ceti,biotech,78.68,31.653
1,1,Tau Ceti,core_daten,114.47,30.0
1,1,Tau Ceti,relikte,153.32,30.0
1,1,Maui-Covenant,nahrung,21.03,28.240000000000002
1,1,Maui-Covenant,rohstoffe,28.11,26.0
1,1,Maui-Covenant,industrieteile,45.36,26.0
1,1,Maui-Covenant,energie,35.84,24.5
1,1,Maui-Covenant,luxus,83.76,25.0
1,1,Maui-Covenant,biotech,79.49,28.464
1,1,Maui-Covenant,core_daten,107.68,26.0
1,1,Maui-Covenant,relikte,138.35,26.0
1,1,Marsim,nahrung,20.73,27.4
1,1,Marsim,rohstoffe,31.34,25.0
1,1,Marsim,industrieteile,40.88,36.405
1,1,Marsim,energie,37.83,34.243
1,1,Marsim,luxus,80.1,31.0
1,1,Marsim,biotech,80.26,31.0
1,1,Marsim,core_daten,113.28,31.0
1,1,Marsim,relikte,136.81,31.0
1,1,Qom-Riyadh,nahrung,19.95,25.6
1,1,Qom-Riyadh,rohstoffe,27.4,28.0
1,1,Qom-Riyadh,industrieteile,43.71,28.0
1,1,Qom-Riyadh,energie,37.96,25.6
1,1,Qom-Riyadh,luxus,76.89,29.198999999999998
1,1,Qom-Riyadh,biotech,82.6,28.0
1,1,Qom-Riyadh,core_daten,111.85,32.796
1,1,Qom-Riyadh,relikte,141.5,28.0
1,1,Bressia,nahrung,22.38,22.66
1,1,Bressia,rohstoffe,29.55,28.3248
1,1,Bressia,industrieteile,41.6,23.29
1,1,Bressia,energie,38.05,26.4546
1,1,Bressia,luxus,79.3,25.0
1,1,Bressia,biotech,87.74,25.0
1,1,Bressia,core_daten,117.85,25.0
1,1,Bressia,relikte,139.67,25.0
1,1,Hebron,nahrung,23.09,23.8
1,1,Hebron,rohstoffe,26.4,26.0
1,1,Hebron,industrieteile,42.09,26.0
1,1,Hebron,energie,40.05,24.2
1,1,Hebron,luxus,73.56,27.378
1,1,Hebron,biotech,83.87,24.4
1,1,Hebron,core_daten,102.84,26.0
1,1,Hebron,relikte,150.16,26.0
1,1,Hyperion,nahrung,22.13,22.56
1,1,Hyperion,rohstoffe,28.89,25.4336
1,1,Hyperion,industrieteile,45.88,24.0
