run,seed,year,world,category,faction,farcaster,periphery,stability,prosperity,time_debt,hyperion_special
1,7,1,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.916,0.0,False
1,7,1,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.736,0.0,False
1,7,1,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.716,0.0,False
1,7,1,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.796,0.0,False
1,7,1,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.846,0.0,False
1,7,1,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.516,0.0,False
1,7,1,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5660000000000001,0.0,False
1,7,1,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.466,0.0,True
1,7,2,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.932,0.0,False
1,7,2,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.752,0.0,False
1,7,2,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.732,0.0,False
1,7,2,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.812,0.0,False
1,7,2,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.862,0.0,False
1,7,2,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.532,0.0,False
1,7,2,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5820000000000001,0.0,False
1,7,2,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.48200000000000004,0.0,True
1,7,3,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.9480000000000001,0.0,False
1,7,3,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.768,0.0,False
1,7,3,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.748,0.0,False
1,7,3,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8280000000000001,0.0,False
1,7,3,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.878,0.0,False
1,7,3,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.548,0.0,False
1,7,3,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5980000000000001,0.0,False
1,7,3,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.49800000000000005,0.0,True
1,7,4,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.9640000000000001,0.0,False
1,7,4,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.784,0.0,False
1,7,4,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.778,0.0,False
1,7,4,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8545,0.0,False
1,7,4,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.894,0.0,False
1,7,4,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.5640000000000001,0.0,False
1,7,4,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6140000000000001,0.0,False
1,7,4,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.514,0.0,True
1,7,5,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.00982,2.576,False
1,7,5,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8240000000000001,0.0,False
1,7,5,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.794,0.0,False
1,7,5,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8885000000000001,0.0,False
1,7,5,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9368000000000001,0.0,False
1,7,5,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.5960000000000001,0.0,False
1,7,5,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6300000000000001,0.0,False
1,7,5,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.53,0.0,True
1,7,6,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.0667624,2.36992,False
1,7,6,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8416000000000001,0.0,False
1,7,6,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.8384000000000001,0.0,False
1,7,6,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.9258000000000001,0.0,False
1,7,6,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9528000000000001,0.0,False
1,7,6,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.6120000000000001,0.0,False
1,7,6,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6460000000000001,0.0,False
1,7,6,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.546,0.0,True
1,7,7,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1029484080000003,2.8887263999999964,False
1,7,7,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8960000000000001,0.0,False
1,7,7,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.8560000000000002,0.0,False
1,7,7,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.9706000000000001,0.0,False
1,7,7,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9928000000000001,0.0,False
1,7,7,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.6324000000000001,0.0,False
1,7,7,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6620000000000001,0.0,False
1,7,7,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.562,0.0,True
1,7,8,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1454595353600003,2.6576282879999966,False
1,7,8,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.9298000000000002,0.0,False
1,7,8,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.9176000000000002,0.0,False
1,7,8,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.0433999999999999,0.0,False
1,7,8,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.0523000000000002,0.0,False
1,7,8,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.6484000000000001,0.0,False
1,7,8,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6780000000000002,0.0,False
1,7,8,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.5780000000000001,0.0,True
1,7,9,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1991937725312005,2.445018024959997,False
1,7,9,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.0346000000000002,0.0,False
1,7,9,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.9484000000000002,0.0,False
1,7,9,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.1193799999999998,3.8639999999999994,False
1,7,9,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.0827000000000004,0.0,False
1,7,9,Bressia,Grenzwelt,Hegemonie,False,True,0.61488,0.6775590000000001,5.9892,False
1,7,9,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7180000000000002,0.0,False
1,7,9,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.5940000000000001,0.0,True
1,7,10,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.271691670728705,2.2494165829631974,False
1,7,10,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.1154000000000002,0.0,False
1,7,10,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.9720000000000003,0.0,False
1,7,10,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.1909935999999999,3.55488,False
1,7,10,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.1059000000000005,0.0,False
1,7,10,Bressia,Grenzwelt,Hegemonie,False,True,0.61488,0.6909600800000002,5.510064000000001,False
1,7,10,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7340000000000002,0.0,False
1,7,10,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.6123528080000001,0.9567264000000033,True
1,7,11,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.3142667290704089,2.0694632563261415,False
1,7,11,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.1962000000000002,0.0,False
1,7,11,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.0461400000000003,0.0,False
1,7,11,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.282218112,7.134489599999999,False
1,7,11,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.1435000000000006,0.0,False
1,7,11,Bressia,Grenzwelt,Hegemonie,False,True,0.61488,0.7226935236000002,6.356798880000004,False
1,7,11,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7929805000000002,2.9394000000000027,False
1,7,11,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.6329187833600001,2.3443866880000033,True
1,7,12,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.3617930536743676,1.9039061958200503,False
1,7,12,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.2460944,0.0,False
1,7,12,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.1002400000000003,0.0,False
1,7,12,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.35310466304,6.563730432,False
1,7,12,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.1739000000000008,0.0,False
1,7,12,Bressia,Grenzwelt,Hegemonie,False,True,0.61488,0.7360578437120002,5.848254969600004,False
1,7,12,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.8113745600000002,3.7346480000000017,False
1,7,12,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.6533459926912001,3.621034152960003,True
1,7,13,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.3266096093804183,1.7515937001544464,False
1,7,13,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.3822984,1.8032,False
1,7,13,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.1403400000000004,0.0,False
1,7,13,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.3973436269567998,6.0386319974400005,False
1,7,13,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.204300000000001,0.0,False
1,7,13,Bressia,Grenzwelt,Hegemonie,False,True,0.59976,0.7747351182150403,12.813074572032003,False
1,7,13,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.8545690952000002,4.466276160000001,False
1,7,13,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.6845638892759041,7.195351420723203,True
1,7,14,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.3227308406299847,1.6114662041420906,False
1,7,14,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.39242368,3.4621439999999994,False
1,7,14,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.1643400000000004,0.0,False
1,7,14,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.357804136800256,5.5555414376448,False
1,7,14,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.220300000000001,0.0,False
1,7,14,Bressia,Grenzwelt,Hegemonie,False,True,0.59976,0.7982538107578371,11.788028606269442,False
1,7,14,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.9270814675840003,14.606174067200003,False
1,7,14,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.6978443541338317,6.619723307065348,True
1,7,15,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.297838853379586,1.4825489078107235,False
1,7,15,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.2976537856,3.1851724799999994,False
1,7,15,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.1803400000000004,0.0,False
1,7,15,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.3150244458562357,8.975098122633216,False
1,7,15,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.242700000000001,0.0,False
1,7,15,Bressia,Grenzwelt,Hegemonie,False,True,0.59976,0.8110750078972101,10.844986317767887,False
1,7,15,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.9631248501772803,14.468080141824002,False
