run,seed,year,events,event_count,core_signal,ouster_threat,templar_access,trade_log_excerpt
1,7,1,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,kein Handel
1,7,2,keine,0,1.064,1.0,0.0,kein Handel
1,7,3,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,kein Handel
1,7,4,keine,0,1.064,1.0,0.0,"rohstoffe: Maui-Covenant -> Marsim (3.5 u, kosten 6.9)"
1,7,5,Politische Sanktionen gegen Hebron,1,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Bressia -> Lusus (4.0 u, kosten 7.0) | nahrung: Qom-Riyadh -> Lusus (0.7 u, kosten 1.0)"
1,7,6,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (1.1 u, kosten 1.0)"
1,7,7,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0)"
1,7,8,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (3.6 u, kosten 1.0)"
1,7,9,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (3.3 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
1,7,10,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0)"
1,7,11,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,"nahrung: Maui-Covenant -> Hebron (6.0 u, kosten 4.7) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0)"
1,7,12,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Qom-Riyadh (2.4 u, kosten 1.0)"
1,7,13,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (3.3 u, kosten 4.7) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0)"
1,7,14,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0)"
1,7,15,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,"rohstoffe: Hyperion -> Marsim (6.0 u, kosten 10.5) | luxus: Hebron -> Hyperion (4.7 u, kosten 10.5) | biotech: Qom-Riyadh -> Hebron (1.6 u, kosten 10.5)"
1,7,16,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 6.9) | nahrung: Maui-Covenant -> Lusus (4.7 u, kosten 6.9) | rohstoffe: Maui-Covenant -> Marsim (6.0 u, kosten 6.9)"
1,7,17,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Marsim (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (4.5 u, kosten 1.0) | nahrung: Maui-Covenant -> Hebron (0.8 u, kosten 7.0)"
1,7,18,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Hyperion (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Hyperion (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (3.4 u, kosten 1.0)"
1,7,19,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 6.9) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 6.9) | rohstoffe: Hebron -> Marsim (4.5 u, kosten 10.5)"
1,7,20,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 6.9) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 6.9) | nahrung: Tau Ceti -> Qom-Riyadh (1.2 u, kosten 6.9)"
1,7,21,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (0.6 u, kosten 7.0)"
1,7,22,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Hebron (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Qom-Riyadh (0.6 u, kosten 1.0)"
1,7,23,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (0.6 u, kosten 1.0)"
1,7,24,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.6 u, kosten 1.0)"
1,7,25,Ouster-Raid bei Hyperion,1,1.064,1.36,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Qom-Riyadh (0.6 u, kosten 1.0)"
1,7,26,keine,0,1.064,1.36,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 8.0) | nahrung: Maui-Covenant -> Bressia (2.2 u, kosten 8.0) | nahrung: Tau Ceti -> Hyperion (0.6 u, kosten 8.0)"
1,7,27,TechnoCore optimiert Handelsnetz temporär,1,1.032,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 0.2) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 0.2) | nahrung: Tau Ceti -> Marsim (0.5 u, kosten 0.2)"
1,7,28,keine,0,1.032,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 0.2) | nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 0.2) | nahrung: Tau Ceti -> Hyperion (0.5 u, kosten 5.8)"
1,7,29,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Hyperion (0.5 u, kosten 7.0)"
1,7,30,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Hyperion (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Hyperion (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Qom-Riyadh (0.5 u, kosten 1.0)"
2,8,1,Aufstand auf Bressia,1,1.064,1.24,0.0,kein Handel
2,8,2,Ouster-Raid bei Hebron,1,1.064,1.6,0.0,kein Handel
2,8,3,Ouster-Raid bei Bressia,1,1.064,1.7200000000000002,0.0,kein Handel
2,8,4,Weltenbaum-Sonderroute verfügbar,1,1.064,1.36,0.9,"nahrung: Maui-Covenant -> Lusus (4.3 u, kosten 1.0) | rohstoffe: Hyperion -> Marsim (3.5 u, kosten 8.0)"
2,8,5,Ouster-Raid bei Hyperion,1,1.064,1.36,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | rohstoffe: Tau Ceti -> Marsim (6.0 u, kosten 1.0)"
2,8,6,keine,0,1.064,1.36,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Qom-Riyadh -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (1.1 u, kosten 1.0)"
2,8,7,keine,0,1.064,1.0,0.0,"nahrung: Qom-Riyadh -> Lusus (0.9 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (5.5 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0)"
2,8,8,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0)"
2,8,9,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Qom-Riyadh (2.4 u, kosten 1.0)"
2,8,10,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (3.6 u, kosten 1.0)"
